
# Surface 0 of 1 surfaces

# Curve title: "'TikzDaten/Verteilung.dat'"
# IsoCurve 0, 42 points
# x y z type
4.2000000e+01 1.0000000e+00 6.0000000e+00 i
4.2000000e+01 2.1463415e+00 3.0727768e+01 i
4.2000000e+01 3.2926829e+00 7.3652015e+01 i
4.2000000e+01 4.4390244e+00 -5.1278509e+01 i
4.2000000e+01 5.5853659e+00 1.0218079e+01 i
4.2000000e+01 6.7317073e+00 -2.2968280e+00 i
4.2000000e+01 7.8780488e+00 2.7112974e-02 i
4.2000000e+01 9.0243902e+00 2.9207703e-03 i
4.2000000e+01 1.0170732e+01 -7.4181043e-02 i
4.2000000e+01 1.1317073e+01 -1.1393656e-01 i
4.2000000e+01 1.2463415e+01 -1.1893931e-01 i
4.2000000e+01 1.3609756e+01 -9.2400402e-02 i
4.2000000e+01 1.4756098e+01 -5.2180231e-02 i
4.2000000e+01 1.5902439e+01 -1.3639551e-02 i
4.2000000e+01 1.7048780e+01 -2.9445644e-03 i
4.2000000e+01 1.8195122e+01 -2.2479084e-02 i
4.2000000e+01 1.9341463e+01 -3.6598979e-02 i
4.2000000e+01 2.0487805e+01 -3.9256845e-02 i
4.2000000e+01 2.1634146e+01 -3.1673951e-02 i
4.2000000e+01 2.2780488e+01 -1.7746111e-02 i
4.2000000e+01 2.3926829e+01 -3.5853663e-03 i
4.2000000e+01 2.5073171e+01 -2.7954362e-03 i
4.2000000e+01 2.6219512e+01 -1.2613997e-02 i
4.2000000e+01 2.7365854e+01 -1.9403684e-02 i
4.2000000e+01 2.8512195e+01 -2.0530050e-02 i
4.2000000e+01 2.9658537e+01 -1.6307787e-02 i
4.2000000e+01 3.0804878e+01 -8.6047753e-03 i
4.2000000e+01 3.1951220e+01 -1.0862283e-03 i
4.2000000e+01 3.3097561e+01 -2.7316026e-03 i
4.2000000e+01 3.4243902e+01 -9.0153993e-03 i
4.2000000e+01 3.5390244e+01 -1.3115779e-02 i
4.2000000e+01 3.6536585e+01 -1.3559078e-02 i
4.2000000e+01 3.7682927e+01 -1.0475298e-02 i
4.2000000e+01 3.8829268e+01 -5.0788449e-03 i
4.2000000e+01 3.9975610e+01 -2.4556174e-04 i
4.2000000e+01 4.1121951e+01 -2.9578986e-03 i
4.2000000e+01 4.2268293e+01 -7.9890999e-03 i
4.2000000e+01 4.3414634e+01 -1.1259490e-02 i
4.2000000e+01 4.4560976e+01 -1.1753386e-02 i
4.2000000e+01 4.5707317e+01 -8.2487125e-03 i
4.2000000e+01 4.6853659e+01 -8.3370198e-03 i
4.2000000e+01 4.8000000e+01 3.7473285e-08 i

# IsoCurve 1, 42 points
# x y z type
4.1127660e+01 1.0000000e+00 8.9948910e+01 i
4.1127660e+01 2.1463415e+00 2.0381377e+02 i
4.1127660e+01 3.2926829e+00 1.5517839e+03 i
4.1127660e+01 4.4390244e+00 -1.4257650e+02 i
4.1127660e+01 5.5853659e+00 2.6449550e+01 i
4.1127660e+01 6.7317073e+00 -7.3242938e-01 i
4.1127660e+01 7.8780488e+00 1.3580158e+00 i
4.1127660e+01 9.0243902e+00 6.7129488e-01 i
4.1127660e+01 1.0170732e+01 5.3074604e-01 i
4.1127660e+01 1.1317073e+01 4.7187296e-01 i
4.1127660e+01 1.2463415e+01 3.9946573e-01 i
4.1127660e+01 1.3609756e+01 3.2016770e-01 i
4.1127660e+01 1.4756098e+01 2.3958614e-01 i
4.1127660e+01 1.5902439e+01 1.7304266e-01 i
4.1127660e+01 1.7048780e+01 1.4109519e-01 i
4.1127660e+01 1.8195122e+01 1.3975739e-01 i
4.1127660e+01 1.9341463e+01 1.4015315e-01 i
4.1127660e+01 2.0487805e+01 1.3159469e-01 i
4.1127660e+01 2.1634146e+01 1.1394990e-01 i
4.1127660e+01 2.2780488e+01 9.1300267e-02 i
4.1127660e+01 2.3926829e+01 7.1156806e-02 i
4.1127660e+01 2.5073171e+01 6.4422585e-02 i
4.1127660e+01 2.6219512e+01 6.8383878e-02 i
4.1127660e+01 2.7365854e+01 7.1265427e-02 i
4.1127660e+01 2.8512195e+01 6.8834024e-02 i
4.1127660e+01 2.9658537e+01 6.1067158e-02 i
4.1127660e+01 3.0804878e+01 5.0190121e-02 i
4.1127660e+01 3.1951220e+01 4.0931247e-02 i
4.1127660e+01 3.3097561e+01 3.9868626e-02 i
4.1127660e+01 3.4243902e+01 4.3949740e-02 i
4.1127660e+01 3.5390244e+01 4.6646703e-02 i
4.1127660e+01 3.6536585e+01 4.5699522e-02 i
4.1127660e+01 3.7682927e+01 4.1133843e-02 i
4.1127660e+01 3.8829268e+01 3.4521651e-02 i
4.1127660e+01 3.9975610e+01 2.9596911e-02 i
4.1127660e+01 4.1121951e+01 3.1006950e-02 i
4.1127660e+01 4.2268293e+01 3.5602010e-02 i
4.1127660e+01 4.3414634e+01 3.9026426e-02 i
4.1127660e+01 4.4560976e+01 3.9933578e-02 i
4.1127660e+01 4.5707317e+01 3.7929936e-02 i
4.1127660e+01 4.6853659e+01 3.8035503e-02 i
4.1127660e+01 4.8000000e+01 3.8602644e-02 i

# IsoCurve 2, 42 points
# x y z type
4.0255319e+01 1.0000000e+00 1.4930844e+03 i
4.0255319e+01 2.1463415e+00 9.1161305e+02 i
4.0255319e+01 3.2926829e+00 3.8582271e+02 i
4.0255319e+01 4.4390244e+00 -5.9665477e+01 i
4.0255319e+01 5.5853659e+00 1.0900564e+01 i
4.0255319e+01 6.7317073e+00 -3.1001550e+00 i
4.0255319e+01 7.8780488e+00 -2.7505204e-01 i
4.0255319e+01 9.0243902e+00 -3.5209400e-01 i
4.0255319e+01 1.0170732e+01 -2.5179236e-01 i
4.0255319e+01 1.1317073e+01 -1.9137326e-01 i
4.0255319e+01 1.2463415e+01 -1.5453059e-01 i
4.0255319e+01 1.3609756e+01 -1.2392074e-01 i
4.0255319e+01 1.4756098e+01 -9.9980829e-02 i
4.0255319e+01 1.5902439e+01 -8.1549861e-02 i
4.0255319e+01 1.7048780e+01 -6.9225638e-02 i
4.0255319e+01 1.8195122e+01 -6.1612664e-02 i
4.0255319e+01 1.9341463e+01 -5.5716125e-02 i
4.0255319e+01 2.0487805e+01 -5.0027798e-02 i
4.0255319e+01 2.1634146e+01 -4.4314640e-02 i
4.0255319e+01 2.2780488e+01 -3.8799201e-02 i
4.0255319e+01 2.3926829e+01 -3.4124077e-02 i
4.0255319e+01 2.5073171e+01 -3.1096978e-02 i
4.0255319e+01 2.6219512e+01 -2.9378972e-02 i
4.0255319e+01 2.7365854e+01 -2.7878693e-02 i
4.0255319e+01 2.8512195e+01 -2.6093577e-02 i
4.0255319e+01 2.9658537e+01 -2.3998765e-02 i
4.0255319e+01 3.0804878e+01 -2.1783057e-02 i
4.0255319e+01 3.1951220e+01 -1.9912898e-02 i
4.0255319e+01 3.3097561e+01 -1.8895921e-02 i
4.0255319e+01 3.4243902e+01 -1.8473717e-02 i
4.0255319e+01 3.5390244e+01 -1.8038551e-02 i
4.0255319e+01 3.6536585e+01 -1.7341859e-02 i
4.0255319e+01 3.7682927e+01 -1.6386756e-02 i
4.0255319e+01 3.8829268e+01 -1.5325417e-02 i
4.0255319e+01 3.9975610e+01 -1.4539978e-02 i
4.0255319e+01 4.1121951e+01 -1.4397312e-02 i
4.0255319e+01 4.2268293e+01 -1.4663306e-02 i
4.0255319e+01 4.3414634e+01 -1.5044704e-02 i
4.0255319e+01 4.4560976e+01 -1.4948647e-02 i
4.0255319e+01 4.5707317e+01 -1.6935699e-02 i
4.0255319e+01 4.6853659e+01 -1.4017331e-02 i
4.0255319e+01 4.8000000e+01 -1.0310436e-02 i

# IsoCurve 3, 42 points
# x y z type
3.9382979e+01 1.0000000e+00 7.9344329e+02 i
3.9382979e+01 2.1463415e+00 9.1472726e+02 i
3.9382979e+01 3.2926829e+00 -6.2445213e+01 i
3.9382979e+01 4.4390244e+00 -2.5994067e+01 i
3.9382979e+01 5.5853659e+00 7.4673733e+00 i
3.9382979e+01 6.7317073e+00 -8.3054141e-01 i
3.9382979e+01 7.8780488e+00 4.0756676e-01 i
3.9382979e+01 9.0243902e+00 1.1235878e-01 i
3.9382979e+01 1.0170732e+01 8.0547115e-02 i
3.9382979e+01 1.1317073e+01 6.3220259e-02 i
3.9382979e+01 1.2463415e+01 4.7758961e-02 i
3.9382979e+01 1.3609756e+01 3.8638928e-02 i
3.9382979e+01 1.4756098e+01 3.2117555e-02 i
3.9382979e+01 1.5902439e+01 2.7256329e-02 i
3.9382979e+01 1.7048780e+01 2.3374225e-02 i
