x,y
0,-70
0,-70
0,-70
1,-70
1,-70
1,-70
1,-70
1,-70
2,-70
2,-71
2,-71
2,-71
2,-71
3,-71
3,-71
3,-71
3,-71
3,-71
4,-71
4,-71
4,-71
4,-71
4,-71
5,-71
5,-71
5,-71
5,-71
5,-71
6,-71
6,-71
6,-71
6,-71
6,-71
7,-71
7,-71
7,-71
7,-71
7,-71
8,-71
8,-71
8,-70
8,-70
8,-70
9,-70
9,-70
9,-70
9,-70
9,-70
10,-70
10,-70
10,-70
10,-70
10,-71
11,-71
11,-71
11,-71
11,-71
11,-71
12,-70
12,-70
12,-70
12,-70
12,-70
13,-70
13,-71
13,-71
13,-71
13,-71
14,-71
14,-71
14,-71
14,-71
14,-71
15,-71
15,-71
15,-71
15,-71
15,-71
16,-71
16,-71
16,-71
16,-71
16,-71
17,-71
17,-71
17,-71
17,-71
17,-71
18,-71
18,-71
18,-71
18,-71
18,-71
19,-71
19,-71
19,-70
19,-70
19,-70
20,-70
20,-70
20,-70
20,-71
20,-71
21,-71
21,-71
21,-71
21,-71
21,-70
22,-70
22,-70
22,-70
22,-70
22,-70
23,-70
23,-70
23,-70
23,-70
23,-70
24,-70
24,-70
24,-70
24,-70
24,-70
25,-70
25,-70
25,-71
25,-71
25,-71
26,-71
26,-71
26,-71
26,-72
26,-72
27,-72
27,-72
27,-72
27,-72
27,-71
28,-71
28,-71
28,-71
28,-71
28,-71
29,-70
29,-70
29,-70
29,-70
29,-70
30,-70
30,-71
30,-71
30,-71
30,-71
31,-71
31,-71
31,-70
31,-70
31,-70
32,-70
32,-70
32,-70
32,-70
32,-70
33,-70
33,-70
33,-70
33,-70
33,-70
34,-70
34,-70
34,-70
34,-70
34,-70
35,-70
35,-70
35,-70
35,-70
35,-70
36,-70
36,-70
36,-71
36,-71
36,-71
37,-71
37,-71
37,-71
37,-71
37,-71
38,-71
38,-71
38,-71
38,-71
38,-71
39,-71
39,-71
39,-71
39,-71
39,-71
40,-71
40,-71
40,-71
40,-71
40,-71
41,-71
41,-70
41,-70
41,-70
41,-70
