x,y
0,-74
0,-74
0,-74
1,-74
1,-74
1,-74
1,-74
1,-74
2,-74
2,-75
2,-75
2,-75
2,-75
3,-75
3,-75
3,-74
3,-74
3,-74
4,-74
4,-74
4,-74
4,-74
4,-76
5,-76
5,-76
5,-76
5,-76
5,-76
6,-77
6,-77
6,-77
6,-77
6,-77
7,-77
7,-76
7,-76
7,-76
7,-76
8,-76
8,-76
8,-74
8,-74
8,-74
9,-74
9,-74
9,-74
9,-76
9,-76
10,-76
10,-76
10,-76
10,-76
10,-74
11,-74
11,-74
11,-74
11,-74
11,-74
12,-74
12,-74
12,-74
12,-74
12,-74
13,-74
13,-74
13,-74
13,-74
13,-74
14,-74
14,-74
14,-78
14,-78
14,-78
15,-78
15,-78
15,-78
15,-76
15,-76
16,-76
16,-76
16,-76
16,-76
16,-76
17,-76
17,-76
17,-76
17,-76
17,-76
18,-76
18,-77
18,-77
18,-77
18,-77
19,-77
19,-77
19,-77
19,-77
19,-77
20,-77
20,-77
20,-77
20,-76
20,-76
21,-76
21,-76
21,-76
21,-76
21,-75
22,-75
22,-75
22,-75
22,-75
22,-75
23,-77
23,-77
23,-77
23,-77
23,-77
24,-77
24,-76
24,-76
24,-76
24,-76
25,-76
25,-76
25,-76
25,-76
25,-76
26,-76
26,-76
26,-76
26,-77
26,-77
27,-77
27,-77
27,-77
27,-77
27,-74
28,-74
28,-74
28,-74
28,-74
28,-74
29,-77
29,-77
29,-77
29,-77
29,-77
30,-77
30,-76
30,-76
30,-76
30,-76
31,-76
31,-76
31,-77
31,-77
31,-77
32,-77
32,-77
32,-77
32,-77
32,-77
33,-77
33,-77
33,-77
33,-77
33,-77
34,-74
34,-74
34,-74
34,-74
34,-74
35,-74
35,-77
35,-77
35,-77
35,-77
36,-77
36,-77
36,-80
36,-80
36,-80
37,-80
37,-80
37,-80
37,-74
37,-74
38,-74
38,-74
38,-74
38,-74
38,-74
39,-74
39,-74
39,-74
39,-74
39,-74
40,-78
40,-78
40,-78
40,-78
40,-78
41,-78
41,-78
41,-78
41,-78
41,-78
42,-78
42,-78
42,-72
42,-72
42,-72
43,-72
43,-72
43,-72
43,-76
43,-76
44,-76
44,-76
44,-76
44,-76
44,-74
45,-74
45,-74
45,-74
45,-74
45,-74
46,-74
46,-74
46,-74
46,-74
46,-74
47,-74
47,-74
47,-73
47,-73
47,-73
48,-73
48,-73
48,-73
48,-78
48,-78
49,-78
49,-78
49,-78
49,-78
49,-73
50,-73
50,-73
50,-73
50,-73
50,-73
51,-73
51,-73
51,-73
51,-73
51,-73
52,-73
52,-76
52,-76
52,-76
52,-76
53,-76
53,-76
53,-77
53,-77
54,-77
54,-77
54,-77
54,-77
54,-77
55,-77
55,-77
55,-77
55,-77
55,-77
56,-74
56,-74
56,-74
56,-74
56,-74
57,-74
57,-78
57,-78
57,-78
57,-78
58,-78
58,-78
58,-77
58,-77
58,-77
59,-77
59,-77
59,-77
59,-77
59,-77
60,-77
60,-77
60,-77
60,-77
60,-77
61,-77
61,-77
61,-77
61,-77
61,-77
62,-73
62,-73
62,-73
62,-73
62,-73
63,-73
63,-76
63,-76
63,-76
63,-76
64,-76
64,-76
64,-76
64,-77
64,-77
65,-77
65,-77
65,-77
65,-77
65,-73
66,-73
66,-73
66,-73
66,-73
66,-73
67,-77
67,-77
67,-77
67,-77
67,-77
68,-77
68,-74
68,-74
68,-74
68,-74
69,-74
69,-74
69,-77
69,-77
69,-77
70,-77
70,-77
70,-77
70,-77
70,-77
71,-77
71,-77
71,-77
71,-77
71,-77
72,-77
72,-77
72,-77
72,-77
72,-77
73,-77
73,-77
73,-77
73,-77
73,-77
74,-77
74,-74
74,-74
74,-74
74,-74
75,-74
75,-74
75,-77
75,-77
75,-77
