x,y
0,-76
0,-76
0,-76
1,-75
1,-75
1,-75
1,-75
1,-75
2,-75
2,-75
2,-75
2,-75
2,-75
3,-75
3,-75
3,-75
3,-75
3,-75
4,-75
4,-75
4,-75
4,-75
4,-74
5,-74
5,-74
5,-74
5,-74
5,-74
6,-77
6,-77
6,-77
6,-77
6,-77
7,-77
7,-74
7,-74
7,-74
7,-74
8,-74
8,-74
8,-77
8,-77
8,-77
9,-77
9,-77
9,-77
9,-75
9,-75
10,-75
10,-75
10,-75
10,-75
10,-75
11,-75
11,-75
11,-75
11,-75
11,-75
12,-75
12,-75
12,-75
12,-75
12,-75
13,-75
13,-75
13,-75
13,-75
13,-75
14,-75
14,-75
14,-75
14,-75
14,-75
15,-75
15,-75
15,-75
15,-75
15,-75
16,-75
16,-75
16,-75
16,-75
16,-75
17,-75
17,-75
17,-75
17,-75
17,-75
18,-75
18,-75
18,-75
18,-75
18,-75
19,-75
19,-75
19,-74
19,-74
19,-74
20,-74
20,-74
20,-74
20,-74
20,-74
21,-74
21,-74
21,-74
21,-74
21,-76
22,-76
22,-76
22,-76
22,-76
22,-76
23,-76
23,-76
23,-76
23,-76
23,-76
24,-76
24,-75
24,-75
24,-75
24,-75
25,-75
25,-75
25,-74
25,-74
25,-74
26,-74
26,-74
26,-74
26,-73
26,-73
27,-73
27,-73
27,-73
27,-73
27,-74
28,-74
28,-74
28,-74
28,-74
28,-74
29,-74
29,-74
29,-74
29,-74
29,-74
30,-74
30,-74
30,-74
30,-74
30,-74
31,-74
31,-74
31,-74
31,-74
31,-74
32,-74
32,-74
32,-74
32,-74
32,-76
33,-76
33,-76
33,-76
33,-76
33,-76
34,-75
34,-75
34,-75
34,-75
34,-75
35,-75
35,-73
35,-73
35,-73
35,-73
36,-73
36,-73
36,-74
36,-74
36,-74
37,-74
37,-74
37,-74
37,-76
37,-76
38,-76
38,-76
38,-76
38,-76
38,-74
39,-74
39,-74
39,-74
39,-74
39,-74
40,-74
40,-74
40,-74
40,-74
40,-74
41,-74
41,-74
41,-74
41,-74
41,-74
42,-74
42,-74
42,-73
42,-73
42,-73
43,-73
43,-73
43,-73
43,-74
43,-74
44,-74
44,-74
44,-74
44,-74
44,-74
45,-74
45,-74
45,-74
45,-74
45,-74
46,-74
46,-74
46,-74
46,-74
46,-74
47,-74
47,-74
47,-73
47,-73
47,-73
48,-73
48,-73
48,-73
48,-74
48,-74
49,-74
49,-74
49,-74
49,-74
49,-75
50,-75
50,-75
50,-75
50,-75
50,-75
51,-76
51,-76
51,-76
51,-76
51,-76
52,-76
52,-74
52,-74
52,-74
52,-74
53,-74
53,-74
53,-76
53,-76
54,-76
54,-76
54,-76
54,-76
54,-74
55,-74
55,-74
55,-74
55,-74
55,-74
56,-73
56,-73
56,-73
56,-73
56,-73
57,-73
57,-76
57,-76
57,-76
57,-76
58,-76
58,-76
58,-74
58,-74
58,-74
59,-74
59,-74
59,-74
59,-74
59,-74
60,-74
60,-74
60,-74
60,-74
60,-74
61,-74
61,-74
61,-74
61,-74
61,-74
62,-74
62,-74
62,-74
62,-74
62,-74
63,-74
63,-77
63,-77
63,-77
63,-77
64,-77
64,-77
64,-77
64,-76
64,-76
65,-76
65,-76
65,-76
65,-76
65,-76
66,-76
66,-76
66,-76
66,-76
66,-76
67,-75
67,-75
67,-75
67,-75
67,-75
68,-75
68,-74
68,-74
68,-74
68,-74
69,-74
69,-74
69,-74
69,-74
69,-74
70,-74
70,-74
70,-74
70,-76
70,-76
71,-76
71,-76
71,-76
71,-76
71,-74
72,-74
72,-74
72,-74
72,-74
72,-74
73,-73
73,-73
73,-73
73,-73
73,-73
74,-73
74,-76
74,-76
74,-76
74,-76
75,-76
75,-76
75,-76
75,-76
75,-76
76,-76
76,-76
76,-76
76,-76
76,-76
77,-76
77,-76
77,-76
77,-76
77,-75
78,-75
78,-75
78,-75
78,-75
78,-75
79,-74
79,-74
79,-74
79,-74
79,-74
80,-74
80,-74
80,-76
80,-76
80,-76
81,-76
81,-76
81,-76
81,-74
81,-74
82,-74
82,-74
82,-74
82,-74
82,-74
83,-74
83,-74
83,-74
83,-74
83,-74
84,-76
84,-76
84,-76
84,-76
84,-76
85,-76
85,-75
85,-75
85,-75
85,-75
86,-75
86,-75
86,-75
86,-75
86,-75
87,-75
87,-75
87,-75
87,-73
87,-73
88,-73
88,-73
88,-73
88,-73
88,-76
89,-76
89,-76
89,-76
89,-76
89,-76
90,-73
90,-73
90,-73
90,-73
90,-73
91,-73
91,-75
91,-75
91,-75
91,-75
92,-75
92,-75
92,-73
92,-73
92,-73
93,-73
93,-73
93,-73
93,-76
93,-76
94,-76
94,-76
94,-76
94,-76
94,-75
95,-75
95,-75
95,-75
95,-75
95,-75
96,-75
96,-75
96,-75
96,-75
96,-75
97,-75
97,-76
97,-76
97,-76
97,-76
98,-76
98,-76
98,-76
98,-75
98,-75
99,-75
99,-75
99,-75
99,-75
99,-75
100,-75
100,-75
100,-75
100,-75
100,-75
101,-74
101,-74
101,-74
101,-74
101,-74
102,-74
102,-76
102,-76
102,-76
102,-76
103,-76
103,-76
103,-75
103,-75
103,-75
104,-75
104,-75
104,-75
104,-74
104,-74
105,-74
105,-74
105,-74
105,-74
105,-75
106,-75
106,-75
106,-75
106,-75
106,-75
107,-73
107,-73
107,-73
107,-73
107,-73
108,-73
108,-75
108,-75
108,-75
108,-75
109,-75
109,-75
109,-74
109,-74
109,-74
110,-74
110,-74
110,-74
110,-75
110,-75
111,-75
111,-75
111,-75
111,-75
111,-76
112,-76
112,-76
112,-76
112,-76
112,-76
113,-74
113,-74
113,-74
113,-74
113,-74
114,-74
114,-74
114,-74
114,-74
114,-74
115,-74
115,-74
115,-74
115,-76
115,-76
116,-76
116,-76
116,-76
116,-76
116,-73
117,-73
117,-73
117,-73
117,-73
117,-73
118,-76
118,-76
118,-76
118,-76
118,-76
119,-76
119,-75
119,-75
119,-75
119,-75
120,-75
120,-75
120,-75
120,-75
120,-75
121,-75
121,-75
121,-75
121,-74
121,-74
122,-74
122,-74
122,-74
122,-74
122,-74
123,-74
123,-74
123,-74
123,-74
123,-74
124,-73
124,-73
124,-73
124,-73
124,-73
125,-73
125,-74
125,-74
125,-74
125,-74
126,-74
126,-74
126,-73
126,-73
126,-73
127,-73
127,-73
127,-73
127,-73
127,-73
128,-73
128,-73
128,-73
128,-73
128,-73
129,-73
129,-73
129,-73
129,-73
129,-73
130,-75
130,-75
130,-75
130,-75
130,-75
131,-75
131,-76
131,-76
131,-76
131,-76
132,-76
132,-76
132,-76
132,-74
132,-74
133,-74
133,-74
133,-74
133,-74
133,-74
134,-74
134,-74
134,-74
134,-74
134,-74
135,-74
135,-74
135,-74
135,-74
135,-74
136,-74
136,-74
136,-74
136,-74
136,-74
137,-74
137,-74
137,-74
137,-74
137,-74
138,-74
138,-74
138,-74
138,-73
138,-73
139,-73
139,-73
139,-73
139,-73
139,-75
140,-75
140,-75
140,-75
140,-75
140,-75
141,-73
141,-73
141,-73
141,-73
141,-73
142,-73
142,-73
142,-73
142,-73
142,-73
143,-73
143,-73
143,-75
143,-75
143,-75
144,-75
144,-75
144,-75
144,-74
144,-74
145,-74
145,-74
145,-74
145,-74
145,-74
146,-74
146,-74
146,-74
146,-74
146,-74
147,-73
147,-73
147,-73
147,-73
147,-73
148,-73
148,-74
148,-74
148,-74
148,-74
149,-74
149,-74
149,-76
149,-76
150,-76
150,-76
150,-76
150,-76
150,-76
151,-76
151,-76
151,-76
151,-76
151,-76
152,-76
152,-73
152,-73
152,-73
152,-73
153,-73
153,-73
153,-73
153,-73
153,-73
154,-73
154,-73
154,-73
154,-73
154,-73
155,-73
155,-73
155,-73
155,-73
155,-75
156,-75
156,-75
156,-75
156,-75
156,-75
157,-73
157,-73
157,-73
157,-73
157,-73
158,-73
158,-75
158,-75
158,-75
158,-75
159,-75
159,-75
159,-75
159,-75
159,-75
160,-75
160,-75
160,-75
160,-73
160,-73
161,-73
161,-73
161,-73
161,-73
161,-75
162,-75
162,-75
162,-75
162,-75
162,-75
163,-73
163,-73
163,-73
163,-73
163,-73
164,-73
164,-74
164,-74
164,-74
164,-74
165,-74
165,-74
165,-74
165,-74
165,-74
166,-74
166,-74
166,-74
166,-76
166,-76
167,-76
167,-76
167,-76
167,-76
167,-75
168,-75
168,-75
168,-75
168,-75
168,-75
169,-75
169,-76
169,-76
169,-76
169,-76
170,-76
170,-76
170,-75
170,-75
170,-75
171,-75
171,-75
171,-75
171,-74
171,-74
172,-74
172,-74
172,-74
172,-74
172,-74
173,-74
173,-74
173,-74
173,-74
173,-74
174,-75
174,-75
174,-75
174,-75
174,-75
175,-75
175,-74
175,-74
175,-74
175,-74
176,-74
176,-74
176,-76
176,-76
176,-76
177,-76
177,-76
177,-76
177,-75
177,-75
178,-75
178,-75
178,-75
178,-75
178,-73
179,-73
179,-73
179,-73
179,-73
179,-73
180,-74
180,-74
180,-74
180,-74
