x,y
0,-72
1,-72
2,-72
3,-72
4,-72
5,-72
6,-72
7,-72
8,-69
9,-69
10,-70
11,-70
12,-68
13,-68
14,-70
15,-70
16,-69
17,-71
18,-70
19,-69
20,-68
21,-68
22,-69
23,-69
24,-68
25,-70
26,-71
27,-71
28,-70
29,-70
30,-69
31,-69
32,-70
33,-70
34,-70
35,-70
36,-70
37,-70
38,-69
39,-69
40,-71
41,-69
42,-70
43,-70
44,-69
45,-69
46,-70
47,-69
48,-69
49,-69
50,-70
51,-70
52,-70
53,-71
54,-68
55,-69
56,-69
57,-69
58,-69
59,-68
60,-68
61,-70
62,-70
63,-70
64,-70
65,-69
66,-68
67,-69
68,-68
69,-69
70,-70
71,-69
72,-69
73,-69
74,-68
75,-68
76,-68
77,-69
78,-70
79,-70
80,-71
81,-70
82,-68
83,-68
84,-68
85,-69
86,-69
87,-68
88,-69
89,-70
90,-70
91,-69
92,-69
93,-68
94,-68
95,-69
96,-70
97,-70
98,-68
99,-68
100,-68
101,-70
102,-68
103,-68
104,-68
105,-69
106,-70
107,-70
108,-70
109,-70
110,-70
111,-68
112,-69
113,-70
114,-69
115,-68
116,-68
117,-68
118,-69
119,-70
120,-70
121,-69
122,-68
123,-68
124,-70
125,-70
126,-70
127,-70
128,-70
129,-70
130,-71
131,-68
132,-69
133,-69
134,-68
135,-68
136,-70
137,-70
138,-70
139,-70
140,-70
141,-70
142,-70
143,-70
144,-70
145,-70
146,-70
147,-70
148,-69
149,-68
150,-69
151,-69
152,-68
153,-69
154,-69
155,-68
156,-68
157,-69
158,-68
159,-68
160,-68
161,-68
162,-68
163,-69
164,-68
165,-68
166,-70
167,-70
168,-70
169,-69
170,-68
171,-70
172,-70
173,-70
174,-70
175,-68
176,-68
177,-68
178,-68
179,-70
180,-70
181,-70
182,-68
183,-68
184,-70
185,-70
186,-70
187,-70
188,-70
189,-70
190,-70
191,-70
192,-70
193,-70
194,-68
195,-69
196,-70
197,-69
198,-68
199,-70
200,-70
201,-70
202,-70
203,-70
204,-70
205,-69
206,-68
207,-70
208,-68
209,-68
210,-69
211,-69
212,-69
213,-69
214,-70
215,-70
216,-68
217,-68
218,-68
219,-70
220,-70
221,-70
222,-70
223,-68
224,-69
225,-69
226,-68
227,-70
228,-70
229,-70
230,-68
231,-69
232,-68
233,-68
234,-70
235,-70
236,-68
237,-68
238,-68
239,-68
240,-68
241,-68
242,-70
243,-70
244,-70
245,-68
246,-68
247,-68
248,-69
249,-68
250,-68
251,-69
252,-70
253,-70
254,-70
255,-70
256,-70
257,-68
258,-69
259,-70
260,-70
261,-70
262,-70
263,-70
264,-70
265,-70
266,-70
267,-68
268,-68
269,-69
270,-70
271,-70
272,-68
273,-69
274,-68
275,-68
276,-70
277,-70
278,-70
279,-70
280,-70
281,-70
282,-69
283,-68
284,-70
285,-68
286,-69
287,-68
288,-68
289,-69
290,-68
291,-68
292,-70
294,-70
295,-70
296,-70
297,-70
298,-70
299,-70
300,-70
301,-70
302,-70
303,-69
304,-68
305,-68
306,-70
307,-69
308,-68
309,-69
310,-70
311,-70
312,-70
313,-70
314,-70
315,-70
316,-70
317,-70
318,-69
319,-69
320,-70
321,-68
322,-68
323,-69
324,-70
325,-70
326,-70
327,-70
328,-69
329,-69
330,-70
331,-70
332,-69
333,-68
334,-70
335,-70
336,-70
337,-70
338,-69
339,-68
340,-70
341,-70
