x,y
0,-72
1,-72
2,-72
3,-72
4,-72
5,-72
6,-72
7,-73
8,-73
9,-69
10,-74
11,-74
12,-71
13,-74
14,-71
15,-72
16,-71
17,-73
18,-72
19,-71
20,-70
21,-71
22,-69
23,-72
24,-70
25,-72
26,-72
27,-73
28,-72
29,-74
30,-74
31,-74
32,-75
33,-72
34,-70
35,-73
36,-71
37,-74
38,-72
39,-71
40,-75
41,-72
42,-74
43,-73
44,-75
45,-69
46,-72
47,-72
48,-71
49,-71
50,-74
51,-76
52,-72
53,-72
54,-70
55,-71
56,-69
57,-72
58,-72
59,-70
60,-70
61,-72
62,-70
63,-72
64,-70
65,-71
66,-70
67,-71
68,-70
69,-71
70,-70
71,-71
72,-74
73,-74
74,-70
75,-70
76,-74
77,-71
78,-75
79,-72
80,-72
81,-72
82,-70
83,-70
84,-70
85,-69
86,-72
87,-70
88,-71
89,-71
90,-70
91,-71
92,-71
93,-75
94,-70
95,-71
96,-72
97,-72
98,-69
99,-70
100,-70
101,-72
102,-70
103,-70
104,-70
105,-71
106,-72
107,-71
108,-71
109,-72
110,-75
111,-71
112,-69
113,-75
114,-70
115,-73
116,-73
117,-70
118,-71
119,-70
120,-72
121,-74
122,-69
123,-70
124,-72
125,-70
126,-72
127,-76
128,-72
129,-70
130,-73
131,-72
132,-72
133,-73
134,-70
135,-75
136,-71
137,-71
138,-72
139,-72
140,-72
141,-70
142,-75
143,-75
144,-72
145,-72
146,-72
147,-72
148,-72
149,-71
150,-70
151,-71
152,-74
153,-75
154,-72
155,-71
156,-70
157,-75
158,-74
159,-74
160,-71
161,-71
162,-70
163,-72
164,-70
165,-70
166,-72
167,-73
168,-76
169,-72
170,-68
171,-72
172,-72
173,-75
174,-70
175,-72
176,-71
177,-70
178,-71
179,-72
180,-72
181,-75
182,-75
183,-74
184,-72
185,-72
186,-72
187,-72
188,-72
189,-75
190,-72
191,-70
192,-75
193,-75
194,-71
195,-74
196,-70
197,-74
198,-68
199,-72
200,-72
201,-72
202,-72
203,-72
204,-74
205,-72
206,-73
207,-74
208,-73
209,-71
210,-71
211,-72
212,-74
213,-69
214,-72
215,-73
216,-70
217,-71
218,-71
219,-75
220,-70
221,-71
222,-74
223,-72
224,-73
225,-72
226,-73
227,-71
228,-71
229,-73
230,-70
231,-72
232,-73
233,-72
234,-74
235,-74
236,-70
237,-72
238,-70
239,-71
240,-73
241,-71
242,-73
243,-72
244,-74
245,-73
246,-70
247,-71
248,-71
249,-70
250,-70
251,-73
252,-74
253,-73
254,-73
255,-72
256,-72
257,-70
258,-72
259,-73
260,-73
261,-74
262,-72
263,-72
264,-71
265,-73
266,-73
267,-70
268,-71
269,-72
270,-73
271,-73
272,-70
273,-69
274,-72
275,-70
276,-73
277,-73
278,-73
279,-70
280,-71
281,-71
282,-72
283,-70
284,-71
285,-71
286,-72
287,-69
288,-70
289,-73
290,-71
291,-71
292,-73
294,-73
295,-73
296,-73
297,-73
298,-73
299,-73
300,-72
301,-70
302,-71
303,-71
304,-72
305,-71
306,-72
307,-71
308,-71
309,-72
310,-73
311,-71
312,-73
313,-73
314,-71
315,-73
316,-70
317,-73
318,-73
319,-70
320,-71
321,-69
322,-72
323,-72
324,-73
325,-75
326,-70
327,-71
328,-73
329,-73
330,-75
331,-71
332,-73
333,-68
334,-71
335,-73
336,-71
337,-70
338,-72
339,-70
340,-73
341,-73
