x,y
0,-73
1,-73
2,-73
3,-73
4,-73
5,-73
6,-73
7,-76
8,-70
9,-71
10,-70
11,-71
12,-68
13,-70
14,-70
15,-70
16,-70
17,-72
18,-72
19,-69
20,-69
21,-69
22,-71
23,-70
24,-69
25,-71
26,-73
27,-73
28,-72
29,-70
30,-72
31,-70
32,-71
33,-70
34,-72
35,-70
36,-71
37,-72
38,-71
39,-70
40,-73
41,-71
42,-71
43,-71
44,-71
45,-71
46,-72
47,-69
48,-70
49,-71
50,-72
51,-72
52,-71
53,-72
54,-69
55,-70
56,-72
57,-72
58,-69
59,-69
60,-69
61,-70
62,-72
63,-70
64,-72
65,-71
66,-68
67,-69
68,-70
69,-69
70,-72
71,-72
72,-69
73,-69
74,-69
75,-70
76,-68
77,-70
78,-72
79,-70
80,-71
81,-71
82,-70
83,-68
84,-70
85,-71
86,-72
87,-68
88,-69
89,-71
90,-72
91,-71
92,-69
93,-69
94,-69
95,-70
96,-72
97,-70
98,-71
99,-70
100,-68
101,-71
102,-70
103,-70
104,-68
105,-70
106,-71
107,-71
108,-71
109,-72
110,-71
111,-69
112,-71
113,-70
114,-72
115,-68
116,-70
117,-69
118,-71
119,-72
120,-70
121,-71
122,-71
123,-70
124,-71
125,-72
126,-70
127,-71
128,-71
129,-72
130,-73
131,-70
132,-70
133,-70
134,-70
135,-70
136,-70
137,-70
138,-72
139,-70
140,-70
141,-72
142,-70
143,-72
144,-70
145,-72
146,-70
147,-71
148,-70
149,-69
150,-72
151,-71
152,-69
153,-70
154,-70
155,-71
156,-69
157,-71
158,-69
159,-70
160,-69
161,-69
162,-70
163,-70
164,-69
165,-70
166,-72
167,-70
168,-71
169,-71
170,-70
171,-72
172,-72
173,-71
174,-72
175,-69
176,-70
177,-69
178,-70
179,-72
180,-71
181,-71
182,-70
183,-69
184,-70
185,-70
186,-70
187,-71
188,-72
189,-70
190,-71
191,-72
192,-70
193,-72
194,-69
195,-70
196,-72
197,-69
198,-71
199,-70
200,-72
201,-72
202,-70
203,-71
204,-71
205,-71
206,-68
207,-70
208,-69
209,-70
210,-70
211,-70
212,-70
213,-71
214,-72
215,-71
216,-69
217,-68
218,-69
219,-71
220,-72
221,-72
222,-72
223,-71
224,-71
225,-70
226,-70
227,-71
228,-71
229,-71
230,-69
231,-71
232,-71
233,-70
234,-70
235,-70
236,-69
237,-70
238,-69
239,-69
240,-69
241,-70
242,-72
243,-71
244,-72
245,-69
246,-69
247,-70
248,-71
249,-69
250,-70
251,-69
252,-71
253,-70
254,-71
255,-71
256,-71
257,-69
258,-70
259,-71
260,-71
261,-71
262,-71
263,-71
264,-70
265,-70
266,-72
267,-70
268,-69
269,-69
270,-70
271,-70
272,-69
273,-71
274,-69
275,-70
276,-70
277,-70
278,-71
279,-72
280,-72
281,-72
282,-69
283,-69
284,-70
285,-69
286,-70
287,-71
288,-68
289,-70
290,-70
291,-70
292,-72
294,-71
295,-70
296,-71
297,-71
298,-71
299,-71
300,-71
301,-72
302,-70
303,-70
304,-69
305,-69
306,-70
307,-69
308,-69
309,-70
310,-70
311,-70
312,-71
313,-71
314,-71
315,-71
316,-71
317,-70
318,-70
319,-69
320,-70
321,-68
322,-69
323,-70
324,-70
325,-71
326,-71
327,-71
328,-71
329,-71
330,-70
331,-70
332,-70
333,-70
334,-72
335,-71
336,-71
337,-71
338,-69
339,-69
340,-71
341,-71
342,-72
343,-71
344,-69
345,-72
346,-70
347,-71
348,-71
349,-72
350,-68
351,-69
352,-70
353,-71
354,-72
355,-70
356,-70
357,-69
358,-70
359,-69
360,-71
361,-72
362,-72
363,-71
364,-71
365,-69
366,-70
367,-72
368,-68
369,-68
370,-72
371,-72
372,-69
373,-69
374,-71
375,-72
376,-72
377,-72
378,-70
379,-70
380,-70
381,-71
382,-71
383,-71
384,-72
385,-68
386,-70
387,-70
388,-69
389,-69
390,-71
391,-70
392,-72
393,-70
394,-70
395,-69
396,-72
397,-70
398,-71
399,-69
400,-69
401,-71
402,-69
403,-71
404,-71
405,-72
406,-70
407,-72
408,-70
409,-71
410,-72
411,-72
412,-70
413,-72
414,-70
415,-69
416,-69
417,-72
418,-72
419,-70
420,-72
421,-70
422,-70
423,-71
424,-71
425,-72
426,-70
427,-71
428,-71
429,-70
430,-70
431,-69
432,-71
433,-70
434,-70
435,-70
436,-71
437,-70
438,-71
439,-68
440,-69
441,-70
442,-71
443,-70
444,-68
445,-70
446,-72
447,-72
448,-70
449,-70
450,-70
451,-71
452,-71
453,-68
454,-72
455,-70
456,-70
457,-71
458,-70
459,-71
460,-69
461,-71
462,-71
463,-70
464,-70
465,-70
466,-70
467,-71
468,-69
469,-71
470,-70
471,-70
472,-68
473,-68
474,-68
475,-68
476,-70
477,-70
478,-71
479,-71
480,-73
481,-71
482,-70
483,-71
484,-71
485,-69
486,-70
487,-70
488,-71
489,-71
490,-71
491,-70
492,-69
493,-70
494,-70
495,-71
496,-70
497,-71
498,-70
499,-69
500,-70
501,-70
502,-69
503,-71
504,-72
505,-72
506,-72
507,-70
508,-72
509,-72
510,-71
511,-72
512,-72
513,-72
514,-71
515,-72
516,-72
517,-71
518,-71
519,-70
520,-71
521,-71
522,-71
523,-72
524,-71
525,-70
526,-72
527,-71
528,-70
529,-72
530,-72
531,-71
532,-72
533,-72
534,-72
535,-70
536,-71
537,-72
538,-73
539,-71
540,-71
541,-71
542,-71
543,-71
544,-72
545,-72
546,-71
547,-72
548,-72
549,-71
550,-71
551,-71
552,-73
553,-73
554,-71
555,-71
556,-71
557,-71
558,-72
559,-73
560,-71
561,-72
562,-72
563,-72
564,-71
565,-72
566,-71
567,-71
568,-72
569,-72
570,-71
571,-71
572,-72
573,-72
574,-71
575,-71
576,-72
577,-72
578,-72
579,-72
580,-72
581,-72
582,-72
583,-70
584,-71
585,-72
586,-72
587,-71
588,-71
589,-71
590,-72
591,-72
592,-72
593,-72
594,-72
595,-72
596,-72
597,-70
598,-71
599,-72
600,-71
601,-72
602,-73
603,-70
604,-71
605,-72
606,-70
607,-72
608,-73
609,-72
610,-72
611,-72
612,-73
613,-73
614,-72
615,-72
616,-71
617,-72
618,-73
619,-72
620,-73
621,-73
622,-73
623,-71
624,-72
625,-71
626,-72
627,-73
628,-73
629,-70
630,-73
631,-73
632,-73
633,-73
634,-72
635,-72
636,-72
637,-72
638,-72
639,-73
640,-73
641,-73
642,-73
643,-73
644,-72
645,-71
646,-72
647,-72
648,-71
649,-74
650,-71
651,-72
652,-72
653,-71
654,-72
655,-72
656,-71
657,-73
658,-73
659,-72
660,-72
661,-72
662,-73
663,-72
664,-72
665,-72
666,-73
667,-72
668,-73
669,-74
670,-72
671,-72
672,-72
673,-71
674,-72
675,-73
676,-74
677,-72
678,-72
679,-72
680,-72
681,-72
682,-72
683,-71
684,-72
685,-72
686,-72
687,-72
688,-74
689,-72
690,-72
691,-72
692,-71
693,-72
694,-75
695,-73
696,-72
697,-72
698,-72
699,-73
700,-72
701,-72
702,-74
703,-73
704,-72
705,-72
706,-72
707,-73
708,-73
709,-72
710,-72
711,-73
712,-73
713,-75
714,-72
715,-72
716,-72
717,-72
718,-73
719,-74
720,-73
721,-73
722,-74
723,-75
724,-74
725,-73
726,-72
727,-72
728,-74
729,-74
730,-75
731,-73
732,-72
733,-72
734,-74
735,-72
736,-74
737,-75
738,-74
739,-72
740,-72
741,-74
742,-72
743,-74
744,-73
745,-73
746,-75
747,-74
748,-72
749,-72
750,-74
751,-75
752,-75
753,-72
754,-72
755,-75
756,-73
757,-74
758,-73
759,-73
760,-73
761,-73
762,-75
763,-72
764,-75
765,-74
766,-74
767,-74
768,-74
769,-72
770,-73
771,-75
772,-75
773,-74
774,-73
775,-75
776,-73
777,-72
778,-75
779,-75
780,-77
781,-73
782,-74
783,-74
784,-73
785,-74
786,-72
787,-74
788,-75
789,-72
790,-72
791,-72
792,-76
793,-73
794,-72
795,-72
796,-72
797,-75
798,-72
799,-75
800,-75
801,-74
802,-74
803,-75
804,-72
805,-75
806,-72
807,-74
808,-73
809,-74
810,-76
811,-75
812,-76
813,-72
814,-74
815,-75
816,-74
817,-72
818,-72
819,-75
820,-74
821,-74
822,-74
823,-74
824,-75
825,-75
826,-75
827,-73
828,-74
829,-74
830,-73
831,-73
832,-73
833,-73
834,-75
835,-75
836,-75
837,-73
838,-74
839,-75
840,-74
841,-75
842,-73
843,-73
844,-73
845,-73
846,-73
847,-73
848,-73
849,-73
850,-74
851,-76
852,-75
853,-74
854,-75
855,-74
856,-74
857,-75
859,-73
860,-74
861,-73
862,-73
863,-73
864,-75
865,-76
866,-75
867,-74
868,-73
869,-73
870,-74
871,-75
872,-75
873,-75
874,-74
875,-73
876,-73
877,-73
878,-76
879,-77
880,-76
881,-74
882,-74
883,-74
884,-74
885,-82
886,-75
887,-76
888,-76
889,-76
890,-75
891,-73
892,-77
893,-75
894,-74
895,-74
896,-74
897,-73
898,-77
899,-77
900,-77
901,-75
902,-74
903,-74
904,-74
905,-74
906,-74
907,-76
908,-74
909,-75
910,-74
911,-75
912,-75
913,-75
914,-75
915,-76
916,-75
917,-75
918,-77
919,-75
920,-76
921,-74
922,-76
923,-76
924,-74
925,-74
926,-75
927,-75
928,-74
929,-75
930,-75
931,-73
932,-73
933,-73
934,-75
935,-76
936,-79
937,-76
938,-76
939,-74
940,-75
941,-77
942,-75
943,-82
944,-77
945,-74
946,-74
947,-75
948,-78
949,-75
950,-75
951,-75
952,-74
953,-75
954,-74
955,-75
956,-75
957,-75
958,-76
959,-75
960,-75
961,-74
962,-82
963,-76
964,-76
965,-77
966,-75
967,-74
968,-74
969,-75
970,-79
971,-77
972,-77
973,-77
974,-76
975,-77
976,-76
977,-77
978,-74
979,-75
980,-76
981,-74
982,-74
983,-76
984,-76
985,-74
986,-75
987,-75
988,-75
989,-75
990,-74
991,-76
992,-78
993,-77
994,-73
995,-76
996,-76
997,-76
998,-75
999,-75
1000,-76
1001,-75
1002,-77
1003,-76
1004,-75
1005,-76
1006,-76
1007,-73
1008,-74
1009,-77
1010,-74
1011,-76
1012,-77
1013,-77
1014,-76
1015,-76
1016,-74
1017,-76
1018,-76
1019,-75
1020,-76
1021,-75
1022,-77
1023,-75
1024,-76
1025,-74
1026,-75
1027,-75
1028,-76
1029,-76
1030,-75
1031,-74
1032,-75
1033,-73
1034,-76
1035,-75
1036,-75
1037,-75
1038,-75
1039,-73
1040,-75
1041,-76
1042,-76
1043,-74
1044,-74
1045,-76
1046,-74
1047,-75
1048,-75
1049,-75
1050,-74
1051,-75
1052,-74
1053,-74
1054,-73
1055,-73
1056,-75
1057,-77
1058,-76
1059,-75
1060,-78
1061,-76
1062,-74
1063,-75
1064,-75
1065,-73
1066,-74
1067,-77
1068,-77
1069,-77
1070,-75
1071,-75
1072,-74
1073,-74
1074,-76
1075,-76
1076,-76
1077,-74
1078,-74
1079,-76
1080,-76
1081,-76
1082,-75
1083,-74
1084,-75
1085,-75
1086,-74
1087,-75
1088,-75
1089,-76
1090,-75
1091,-74
1092,-76
1093,-77
1094,-77
1095,-75
1096,-75
1097,-75
1098,-76
1099,-75
1100,-75
1101,-75
1102,-74
1103,-75
1104,-72
1105,-75
1106,-75
1107,-75
1108,-75
1109,-76
1110,-75
1111,-75
1112,-75
1113,-73
1114,-74
1115,-74
1116,-75
1117,-74
1118,-74
1119,-76
1120,-74
1121,-75
1122,-75
1123,-75
1124,-74
1125,-74
1126,-74
1127,-76
1128,-76
1129,-74
1130,-75
1131,-74
1132,-76
1133,-75
1134,-74
1135,-73
1136,-75
1137,-74
1138,-76
1139,-73
1140,-73
1141,-74
1142,-75
1143,-74
1144,-75
1145,-75
1146,-74
1147,-76
1148,-76
1149,-73
1150,-73
1151,-74
1152,-75
1153,-75
1154,-74
1155,-75
1156,-73
1157,-73
1158,-74
1159,-73
1160,-74
1161,-76
1162,-74
1163,-73
1164,-73
1165,-74
1166,-75
1167,-73
1168,-73
1169,-74
1170,-72
1171,-74
1172,-74
1173,-74
1174,-74
1175,-74
1176,-74
1177,-75
1178,-74
1179,-74
1180,-73
1181,-73
1182,-74
1183,-75
1184,-75
1185,-75
1186,-73
1187,-73
1188,-73
1189,-73
1190,-73
1191,-73
1192,-74
1193,-76
1194,-73
1195,-75
1196,-76
1197,-74
1198,-75
1199,-75
1200,-73
1201,-75
1202,-73
1203,-73
1204,-73
1205,-73
1206,-73
1207,-73
1208,-73
1209,-73
1210,-73
1211,-73
1212,-75
1213,-75
1214,-74
1215,-74
1216,-73
1217,-72
1218,-72
1219,-73
1220,-73
1221,-72
1222,-74
1223,-73
1224,-73
1225,-73
1226,-74
1227,-74
1228,-74
1229,-73
1230,-73
1231,-73
1232,-72
1233,-73
1234,-74
1235,-73
1236,-73
1237,-73
1238,-73
1239,-73
1240,-74
1241,-74
1242,-73
1243,-74
1244,-72
1245,-73
1246,-73
1247,-73
1248,-73
1249,-73
1250,-74
1251,-73
1252,-73
