x, y
0.5,-62.209119914512
0.51,-62.3489784859791
0.52,-62.4861211846717
0.53,-62.6206514819794
0.54,-62.7526670464625
0.55,-62.8822601698094
0.56,-63.0095181544134
0.57,-63.1345236666452
0.58,-63.2573550594006
0.59,-63.3780866670764
0.6,-63.4967890757544
0.61,-63.613529371053
0.62,-63.728371365826
0.63,-63.8413758096419
0.64,-63.9526005817682
0.65,-64.0621008691921
0.66,-64.1699293310517
0.67,-64.2761362507016
0.68,-64.3807696765134
0.69,-64.4838755523974
0.7,-64.5854978389338
0.71,-64.6856786259115
0.72,-64.7844582369967
0.73,-64.8818753271818
0.74,-64.9779669736053
0.75,-65.0727687602748
0.76,-65.1663148571795
0.77,-65.2586380942312
0.78,-65.3497700304344
0.79,-65.4397410186506
0.8,-65.5285802662886
0.81,-65.6163158922252
0.82,-65.7029749802338
0.83,-65.788583629174
0.84,-65.8731670001762
0.85,-65.9567493610338
0.86,-66.0393541279992
0.87,-66.1210039051634
0.88,-66.2017205215859
0.89,-66.281525066326
0.9,-66.3604379215171
0.91,-66.4384787936139
0.92,-66.5156667429317
0.93,-66.5920202115887
0.94,-66.6675570499549
0.95,-66.7422945416999
0.96,-66.8162494275309
0.97,-66.8894379276998
0.98,-66.9618757633557
0.99,-67.0335781768145
1,-67.104559950809
1.01,-67.1748354267817
1.02,-67.2444185222761
1.03,-67.3133227474799
1.04,-67.3815612209687
1.05,-67.4491466846966
1.06,-67.5160915182764
1.07,-67.5824077525888
1.08,-67.6481070827595
1.09,-67.7132008805369
1.1,-67.7777002061064
1.11,-67.8416158193681
1.12,-67.9049581907104
1.13,-67.967737511304
1.14,-68.0299637029422
1.15,-68.0916464274521
1.16,-68.1527950956976
1.17,-68.2134188761972
1.18,-68.2735267033734
1.19,-68.3331272854556
1.2,-68.3922291120514
1.21,-68.4508404614037
1.22,-68.50896940735
1.23,-68.5666238259966
1.24,-68.623811402123
1.25,-68.6805396353294
1.26,-68.7368158459389
1.27,-68.7926471806664
1.28,-68.8480406180652
1.29,-68.9030029737619
1.3,-68.9575409054891
1.31,-69.0116609179248
1.32,-69.0653693673487
1.33,-69.1186724661217
1.34,-69.1715762869986
1.35,-69.2240867672799
1.36,-69.2762097128104
1.37,-69.3279508018317
1.38,-69.3793155886944
1.39,-69.430309507436
1.4,-69.4809378752308
1.41,-69.5312058957176
1.42,-69.5811186622086
1.43,-69.6306811607864
1.44,-69.6798982732937
1.45,-69.7287747802181
1.46,-69.7773153634788
1.47,-69.8255246091184
1.48,-69.8734070099023
1.49,-69.9209669678316
1.5,-69.9682087965718
1.51,-70.0151367238001
1.52,-70.0617548934765
1.53,-70.1080673680389
1.54,-70.1540781305282
1.55,-70.1997910866434
1.56,-70.2452100667314
1.57,-70.2903388277131
1.58,-70.3351810549476
1.59,-70.3797403640392
1.6,-70.4240203025856
1.61,-70.4680243518739
1.62,-70.5117559285222
1.63,-70.555218386072
1.64,-70.5984150165308
1.65,-70.6413490518691
1.66,-70.684023665471
1.67,-70.7264419735417
1.68,-70.7686070364732
1.69,-70.8105218601692
1.7,-70.8521893973308
1.71,-70.893612548705
1.72,-70.9347941642962
1.73,-70.9757370445428
1.74,-71.0164439414604
